GPU 0: NVIDIA GeForce RTX 3050 Laptop GPU with 4095.5 MB memory
Using device: cuda


=== [1/10] Creating EA Adversarial Image for D:\malnet-images\test\addisplay\adflex\1CD2B84FB821356A6F43474122263C0663C58EDD6C6F629D800EC0F9EAD731A9.png ===

--- Original Prediction Results ---
Predicted class: 4 (adware)

Confidence     : 0.4133

True class     : 0 (addisplay)

Target ('benign') class: 11 (benign)

[INFO] Benign class became best class at iteration 7747 with confidence 0.3065!

Failed to generate adversarial image in 10000 iterations.
Benign first became best at iteration 7747 with confidence 0.3065

Benign probability changes (iteration, prob):
Iteration 0: Benign prob = 0.0012
Iteration 5: Benign prob = 0.0013
Iteration 6: Benign prob = 0.0015
Iteration 7: Benign prob = 0.0017
Iteration 10: Benign prob = 0.0018
Iteration 11: Benign prob = 0.0019
Iteration 12: Benign prob = 0.0020
Iteration 14: Benign prob = 0.0020
Iteration 15: Benign prob = 0.0020
Iteration 17: Benign prob = 0.0022
Iteration 20: Benign prob = 0.0022
Iteration 24: Benign prob = 0.0022
Iteration 25: Benign prob = 0.0023
Iteration 26: Benign prob = 0.0024
Iteration 27: Benign prob = 0.0025
Iteration 28: Benign prob = 0.0026
Iteration 29: Benign prob = 0.0029
Iteration 41: Benign prob = 0.0029
Iteration 44: Benign prob = 0.0030
Iteration 46: Benign prob = 0.0032
Iteration 60: Benign prob = 0.0034
Iteration 74: Benign prob = 0.0036
Iteration 95: Benign prob = 0.0037
Iteration 108: Benign prob = 0.0040
Iteration 109: Benign prob = 0.0040
Iteration 124: Benign prob = 0.0041
Iteration 131: Benign prob = 0.0041
Iteration 139: Benign prob = 0.0042
Iteration 146: Benign prob = 0.0042
Iteration 154: Benign prob = 0.0043
Iteration 156: Benign prob = 0.0044
Iteration 169: Benign prob = 0.0044
Iteration 174: Benign prob = 0.0046
Iteration 183: Benign prob = 0.0049
Iteration 187: Benign prob = 0.0050
Iteration 195: Benign prob = 0.0052
Iteration 196: Benign prob = 0.0055
Iteration 217: Benign prob = 0.0056
Iteration 222: Benign prob = 0.0056
Iteration 225: Benign prob = 0.0058
Iteration 238: Benign prob = 0.0063
Iteration 252: Benign prob = 0.0065
Iteration 285: Benign prob = 0.0066
Iteration 288: Benign prob = 0.0067
Iteration 294: Benign prob = 0.0068
Iteration 298: Benign prob = 0.0070
Iteration 306: Benign prob = 0.0070
Iteration 307: Benign prob = 0.0073
Iteration 311: Benign prob = 0.0074
Iteration 312: Benign prob = 0.0075
Iteration 313: Benign prob = 0.0076
Iteration 316: Benign prob = 0.0077
Iteration 323: Benign prob = 0.0080
Iteration 339: Benign prob = 0.0087
Iteration 360: Benign prob = 0.0087
Iteration 421: Benign prob = 0.0088
Iteration 424: Benign prob = 0.0091
Iteration 425: Benign prob = 0.0092
Iteration 427: Benign prob = 0.0093
Iteration 430: Benign prob = 0.0094
Iteration 458: Benign prob = 0.0101
Iteration 466: Benign prob = 0.0102
Iteration 491: Benign prob = 0.0107
Iteration 502: Benign prob = 0.0109
Iteration 525: Benign prob = 0.0112
Iteration 575: Benign prob = 0.0112
Iteration 584: Benign prob = 0.0114
Iteration 602: Benign prob = 0.0119
Iteration 610: Benign prob = 0.0124
Iteration 616: Benign prob = 0.0126
Iteration 661: Benign prob = 0.0127
Iteration 668: Benign prob = 0.0128
Iteration 685: Benign prob = 0.0132
Iteration 696: Benign prob = 0.0133
Iteration 702: Benign prob = 0.0136
Iteration 714: Benign prob = 0.0137
Iteration 717: Benign prob = 0.0138
Iteration 747: Benign prob = 0.0139
Iteration 758: Benign prob = 0.0142
Iteration 760: Benign prob = 0.0145
Iteration 761: Benign prob = 0.0155
Iteration 778: Benign prob = 0.0157
Iteration 787: Benign prob = 0.0159
Iteration 791: Benign prob = 0.0162
Iteration 801: Benign prob = 0.0163
Iteration 864: Benign prob = 0.0163
Iteration 866: Benign prob = 0.0176
Iteration 884: Benign prob = 0.0177
Iteration 892: Benign prob = 0.0179
Iteration 911: Benign prob = 0.0179
Iteration 919: Benign prob = 0.0182
Iteration 961: Benign prob = 0.0185
Iteration 984: Benign prob = 0.0196
Iteration 992: Benign prob = 0.0196
Iteration 998: Benign prob = 0.0202
Iteration 1046: Benign prob = 0.0203
Iteration 1055: Benign prob = 0.0204
Iteration 1056: Benign prob = 0.0213
Iteration 1059: Benign prob = 0.0221
Iteration 1073: Benign prob = 0.0222
Iteration 1087: Benign prob = 0.0224
Iteration 1094: Benign prob = 0.0251
Iteration 1118: Benign prob = 0.0253
Iteration 1150: Benign prob = 0.0259
Iteration 1157: Benign prob = 0.0261
Iteration 1192: Benign prob = 0.0262
Iteration 1203: Benign prob = 0.0263
Iteration 1204: Benign prob = 0.0266
Iteration 1214: Benign prob = 0.0274
Iteration 1226: Benign prob = 0.0279
Iteration 1266: Benign prob = 0.0287
Iteration 1268: Benign prob = 0.0313
Iteration 1296: Benign prob = 0.0314
Iteration 1318: Benign prob = 0.0331
Iteration 1351: Benign prob = 0.0332
Iteration 1356: Benign prob = 0.0337
Iteration 1363: Benign prob = 0.0345
Iteration 1374: Benign prob = 0.0357
Iteration 1406: Benign prob = 0.0374
Iteration 1421: Benign prob = 0.0375
Iteration 1449: Benign prob = 0.0375
Iteration 1450: Benign prob = 0.0377
Iteration 1458: Benign prob = 0.0378
Iteration 1477: Benign prob = 0.0390
Iteration 1490: Benign prob = 0.0394
Iteration 1540: Benign prob = 0.0402
Iteration 1551: Benign prob = 0.0402
Iteration 1562: Benign prob = 0.0404
Iteration 1563: Benign prob = 0.0416
Iteration 1605: Benign prob = 0.0423
Iteration 1616: Benign prob = 0.0442
Iteration 1694: Benign prob = 0.0449
Iteration 1785: Benign prob = 0.0470
Iteration 1813: Benign prob = 0.0475
Iteration 1861: Benign prob = 0.0483
Iteration 1880: Benign prob = 0.0492
Iteration 1881: Benign prob = 0.0511
Iteration 1902: Benign prob = 0.0512
Iteration 1961: Benign prob = 0.0529
Iteration 1966: Benign prob = 0.0537
Iteration 2017: Benign prob = 0.0542
Iteration 2023: Benign prob = 0.0546
Iteration 2052: Benign prob = 0.0548
Iteration 2063: Benign prob = 0.0568
Iteration 2086: Benign prob = 0.0570
Iteration 2091: Benign prob = 0.0571
Iteration 2105: Benign prob = 0.0588
Iteration 2164: Benign prob = 0.0597
Iteration 2232: Benign prob = 0.0610
Iteration 2239: Benign prob = 0.0610
Iteration 2240: Benign prob = 0.0610
Iteration 2263: Benign prob = 0.0617
Iteration 2270: Benign prob = 0.0626
Iteration 2296: Benign prob = 0.0633
Iteration 2323: Benign prob = 0.0663
Iteration 2358: Benign prob = 0.0667
Iteration 2420: Benign prob = 0.0673
Iteration 2434: Benign prob = 0.0673
Iteration 2440: Benign prob = 0.0717
Iteration 2517: Benign prob = 0.0730
Iteration 2595: Benign prob = 0.0746
