C:\Users\Alisa\AppData\Local\Programs\Python\Python313\Lib\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
C:\Users\Alisa\AppData\Local\Programs\Python\Python313\Lib\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=ResNet50_Weights.IMAGENET1K_V1`. You can also use `weights=ResNet50_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)

Iteration 1/10000 (0.01%) | Benign prob: 0.0012 | Best class: 42 | Time left: 286.23 min
Iteration 2/10000 (0.02%) | Benign prob: 0.0012 | Best class: 42 | Time left: 161.95 min
Iteration 3/10000 (0.03%) | Benign prob: 0.0012 | Best class: 42 | Time left: 120.10 min
Iteration 4/10000 (0.04%) | Benign prob: 0.0012 | Best class: 42 | Time left: 99.32 min
Iteration 5/10000 (0.05%) | Benign prob: 0.0014 | Best class: 4 | Time left: 86.80 min
Iteration 6/10000 (0.06%) | Benign prob: 0.0018 | Best class: 4 | Time left: 78.43 min
Iteration 7/10000 (0.07%) | Benign prob: 0.0021 | Best class: 4 | Time left: 72.66 min
Iteration 8/10000 (0.08%) | Benign prob: 0.0030 | Best class: 42 | Time left: 68.47 min
Iteration 9/10000 (0.09%) | Benign prob: 0.0030 | Best class: 42 | Time left: 64.90 min
Iteration 10/10000 (0.10%) | Benign prob: 0.0030 | Best class: 42 | Time left: 62.21 min
Iteration 11/10000 (0.11%) | Benign prob: 0.0030 | Best class: 42 | Time left: 59.96 min
Iteration 12/10000 (0.12%) | Benign prob: 0.0030 | Best class: 42 | Time left: 58.02 min
Iteration 13/10000 (0.13%) | Benign prob: 0.0030 | Best class: 42 | Time left: 56.39 min
Iteration 14/10000 (0.14%) | Benign prob: 0.0030 | Best class: 42 | Time left: 55.11 min
Iteration 15/10000 (0.15%) | Benign prob: 0.0030 | Best class: 4 | Time left: 53.85 min
Iteration 16/10000 (0.16%) | Benign prob: 0.0030 | Best class: 4 | Time left: 52.75 min
Iteration 17/10000 (0.17%) | Benign prob: 0.0030 | Best class: 4 | Time left: 51.90 min
Iteration 18/10000 (0.18%) | Benign prob: 0.0030 | Best class: 42 | Time left: 51.03 min
Iteration 19/10000 (0.19%) | Benign prob: 0.0030 | Best class: 42 | Time left: 50.33 min
Iteration 20/10000 (0.20%) | Benign prob: 0.0030 | Best class: 42 | Time left: 49.67 min
Iteration 21/10000 (0.21%) | Benign prob: 0.0030 | Best class: 4 | Time left: 49.02 min
Iteration 22/10000 (0.22%) | Benign prob: 0.0033 | Best class: 4 | Time left: 48.46 min
Iteration 23/10000 (0.23%) | Benign prob: 0.0033 | Best class: 4 | Time left: 47.96 min
Iteration 24/10000 (0.24%) | Benign prob: 0.0033 | Best class: 4 | Time left: 47.49 min
Iteration 25/10000 (0.25%) | Benign prob: 0.0033 | Best class: 4 | Time left: 47.04 min
Iteration 26/10000 (0.26%) | Benign prob: 0.0033 | Best class: 4 | Time left: 46.66 min
Iteration 27/10000 (0.27%) | Benign prob: 0.0035 | Best class: 4 | Time left: 46.27 min
Iteration 28/10000 (0.28%) | Benign prob: 0.0039 | Best class: 42 | Time left: 45.92 min
Iteration 29/10000 (0.29%) | Benign prob: 0.0039 | Best class: 42 | Time left: 45.60 min
Iteration 30/10000 (0.30%) | Benign prob: 0.0039 | Best class: 42 | Time left: 45.30 min
Iteration 31/10000 (0.31%) | Benign prob: 0.0039 | Best class: 42 | Time left: 45.09 min
Iteration 32/10000 (0.32%) | Benign prob: 0.0040 | Best class: 42 | Time left: 44.82 min
Iteration 33/10000 (0.33%) | Benign prob: 0.0040 | Best class: 42 | Time left: 44.58 min
Iteration 34/10000 (0.34%) | Benign prob: 0.0040 | Best class: 42 | Time left: 44.37 min
Iteration 35/10000 (0.35%) | Benign prob: 0.0040 | Best class: 42 | Time left: 44.14 min
Iteration 36/10000 (0.36%) | Benign prob: 0.0040 | Best class: 42 | Time left: 43.98 min
Iteration 37/10000 (0.37%) | Benign prob: 0.0040 | Best class: 42 | Time left: 43.78 min
Iteration 38/10000 (0.38%) | Benign prob: 0.0040 | Best class: 42 | Time left: 43.58 min
Iteration 39/10000 (0.39%) | Benign prob: 0.0040 | Best class: 42 | Time left: 43.46 min
Iteration 40/10000 (0.40%) | Benign prob: 0.0040 | Best class: 42 | Time left: 43.29 min
Iteration 41/10000 (0.41%) | Benign prob: 0.0040 | Best class: 42 | Time left: 43.17 min
Iteration 42/10000 (0.42%) | Benign prob: 0.0041 | Best class: 42 | Time left: 43.01 min
Iteration 43/10000 (0.43%) | Benign prob: 0.0041 | Best class: 42 | Time left: 42.87 min
Iteration 44/10000 (0.44%) | Benign prob: 0.0041 | Best class: 42 | Time left: 42.89 min
Iteration 45/10000 (0.45%) | Benign prob: 0.0041 | Best class: 42 | Time left: 42.89 min
Iteration 46/10000 (0.46%) | Benign prob: 0.0041 | Best class: 42 | Time left: 42.92 min
Iteration 47/10000 (0.47%) | Benign prob: 0.0043 | Best class: 42 | Time left: 42.92 min
Iteration 48/10000 (0.48%) | Benign prob: 0.0043 | Best class: 42 | Time left: 42.93 min
Iteration 49/10000 (0.49%) | Benign prob: 0.0043 | Best class: 42 | Time left: 42.93 min
Iteration 50/10000 (0.50%) | Benign prob: 0.0043 | Best class: 42 | Time left: 42.82 min
Iteration 51/10000 (0.51%) | Benign prob: 0.0043 | Best class: 42 | Time left: 42.71 min
Iteration 52/10000 (0.52%) | Benign prob: 0.0043 | Best class: 42 | Time left: 42.59 min
Iteration 53/10000 (0.53%) | Benign prob: 0.0043 | Best class: 42 | Time left: 42.49 min
Iteration 54/10000 (0.54%) | Benign prob: 0.0043 | Best class: 42 | Time left: 42.38 min
Iteration 55/10000 (0.55%) | Benign prob: 0.0044 | Best class: 42 | Time left: 42.27 min
Iteration 56/10000 (0.56%) | Benign prob: 0.0044 | Best class: 42 | Time left: 42.16 min
Iteration 57/10000 (0.57%) | Benign prob: 0.0044 | Best class: 42 | Time left: 42.07 min
Iteration 58/10000 (0.58%) | Benign prob: 0.0044 | Best class: 42 | Time left: 41.97 min
Iteration 59/10000 (0.59%) | Benign prob: 0.0044 | Best class: 42 | Time left: 41.89 min
Iteration 60/10000 (0.60%) | Benign prob: 0.0044 | Best class: 42 | Time left: 41.79 min
Iteration 61/10000 (0.61%) | Benign prob: 0.0044 | Best class: 42 | Time left: 41.69 min
Iteration 62/10000 (0.62%) | Benign prob: 0.0044 | Best class: 42 | Time left: 41.62 min
Iteration 63/10000 (0.63%) | Benign prob: 0.0044 | Best class: 42 | Time left: 41.52 min
Iteration 64/10000 (0.64%) | Benign prob: 0.0044 | Best class: 42 | Time left: 41.46 min
Iteration 65/10000 (0.65%) | Benign prob: 0.0044 | Best class: 42 | Time left: 41.38 min
Iteration 66/10000 (0.66%) | Benign prob: 0.0049 | Best class: 42 | Time left: 41.30 min
Iteration 67/10000 (0.67%) | Benign prob: 0.0049 | Best class: 42 | Time left: 41.35 min
Iteration 68/10000 (0.68%) | Benign prob: 0.0049 | Best class: 42 | Time left: 41.38 min
Iteration 69/10000 (0.69%) | Benign prob: 0.0049 | Best class: 42 | Time left: 41.40 min
Iteration 70/10000 (0.70%) | Benign prob: 0.0049 | Best class: 42 | Time left: 41.42 min
Iteration 71/10000 (0.71%) | Benign prob: 0.0049 | Best class: 42 | Time left: 41.36 min
Iteration 72/10000 (0.72%) | Benign prob: 0.0054 | Best class: 42 | Time left: 41.29 min
Iteration 73/10000 (0.73%) | Benign prob: 0.0054 | Best class: 42 | Time left: 41.22 min
Iteration 74/10000 (0.74%) | Benign prob: 0.0054 | Best class: 42 | Time left: 41.15 min
Iteration 75/10000 (0.75%) | Benign prob: 0.0054 | Best class: 42 | Time left: 41.08 min
Iteration 76/10000 (0.76%) | Benign prob: 0.0054 | Best class: 42 | Time left: 41.01 min
Iteration 77/10000 (0.77%) | Benign prob: 0.0054 | Best class: 42 | Time left: 40.96 min
Iteration 78/10000 (0.78%) | Benign prob: 0.0054 | Best class: 42 | Time left: 40.90 min
Iteration 79/10000 (0.79%) | Benign prob: 0.0054 | Best class: 42 | Time left: 40.84 min
Iteration 80/10000 (0.80%) | Benign prob: 0.0054 | Best class: 42 | Time left: 40.80 min
Iteration 81/10000 (0.81%) | Benign prob: 0.0054 | Best class: 42 | Time left: 40.73 min
Iteration 82/10000 (0.82%) | Benign prob: 0.0054 | Best class: 42 | Time left: 40.69 min
Iteration 83/10000 (0.83%) | Benign prob: 0.0054 | Best class: 42 | Time left: 40.63 min
Iteration 84/10000 (0.84%) | Benign prob: 0.0054 | Best class: 42 | Time left: 40.58 min
Iteration 85/10000 (0.85%) | Benign prob: 0.0054 | Best class: 42 | Time left: 40.53 min
Iteration 86/10000 (0.86%) | Benign prob: 0.0054 | Best class: 42 | Time left: 40.49 min
Iteration 87/10000 (0.87%) | Benign prob: 0.0056 | Best class: 42 | Time left: 40.43 min
Iteration 88/10000 (0.88%) | Benign prob: 0.0056 | Best class: 42 | Time left: 40.40 min
Iteration 89/10000 (0.89%) | Benign prob: 0.0056 | Best class: 42 | Time left: 40.35 min
Iteration 90/10000 (0.90%) | Benign prob: 0.0056 | Best class: 42 | Time left: 40.30 min
Iteration 91/10000 (0.91%) | Benign prob: 0.0056 | Best class: 42 | Time left: 40.27 min
Iteration 92/10000 (0.92%) | Benign prob: 0.0056 | Best class: 42 | Time left: 40.23 min
Iteration 93/10000 (0.93%) | Benign prob: 0.0056 | Best class: 42 | Time left: 40.19 min
Iteration 94/10000 (0.94%) | Benign prob: 0.0056 | Best class: 42 | Time left: 40.14 min
Iteration 95/10000 (0.95%) | Benign prob: 0.0058 | Best class: 42 | Time left: 40.09 min
